dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
115,"00:09:08,839 --> 00:09:10,507
","and I never would
give it to them.

",0.603461,0.075056,0.053231,0.30511,0.07055,0.30429,0.583824,0.9049,0.014799,0.476903,0.694442,0.0,0.0
116,"00:09:10,675 --> 00:09:12,717
","ANNIE:
Oh, Mum...

",0.10506,0.521285,0.218618,0.094959,0.145013,0.05653,0.129303,0.607891,0.446361,0.093634,0.0,0.0,0.0
117,"00:09:12,885 --> 00:09:15,428
","BARBARA: I noticed these things
are back in fashion.

",0.219799,0.664009,0.021825,0.04778,0.127637,0.782571,0.156772,0.758345,0.697282,0.000614,0.883404,0.0,0.0
118,"00:09:15,596 --> 00:09:17,472
","ANNIE:
Grandmother's dress.

",0.301357,0.504936,0.068563,0.084108,0.102216,0.260227,0.123557,0.617306,0.499636,0.118704,0.0,0.0,0.0
119,"00:09:17,640 --> 00:09:22,102
","Oh, honey.
He's a lovely man, Annie.

",0.142265,0.768387,0.016576,0.027624,0.107421,0.167352,0.111501,0.755962,0.612807,0.159969,0.0,0.0,0.962182
120,"00:09:22,270 --> 00:09:25,897
","I know he is wonderful,
isn't he?

",0.452252,0.449922,0.052406,0.072766,0.041087,0.352554,0.110341,0.612867,0.15699,0.150698,0.931994,0.0,0.0
121,"00:09:26,315 --> 00:09:28,817
","And he's such a wonderful athlete.
Are his folks nice?

",0.246772,0.662676,0.024334,0.048564,0.084592,0.76601,0.06819,0.791266,0.774956,0.228885,0.0,0.0,0.0
122,"00:09:28,985 --> 00:09:30,151
","You'll love them.

",0.107712,0.733136,0.132502,0.039613,0.026806,0.238413,0.315643,0.63636,0.588911,0.366612,0.0,0.0,0.0
123,"00:09:30,319 --> 00:09:32,862
","We're going down to DC tonight
to be with them Christmas morning.

",0.275287,0.69588,0.021872,0.031113,0.030836,0.038356,0.66424,0.908027,0.834337,0.865098,0.0,0.0,0.0
124,"00:09:33,030 --> 00:09:37,033
","How did it happen?
It's silly, really.

",0.469418,0.057769,0.074152,0.382166,0.123472,0.016325,0.184054,0.696945,0.144575,0.292348,0.931994,0.0,0.0
125,"00:09:37,201 --> 00:09:40,203
","I mean, I'd seen him at the office.
Obviously I'd seen him.

",0.576633,0.146868,0.0879,0.128197,0.155166,0.451737,0.02632,0.768384,0.172785,0.369567,0.908592,0.0,0.971165
126,"00:09:40,371 --> 00:09:42,372
","He's the associate publisher.

",0.30758,0.342295,0.147368,0.098358,0.182579,0.744838,0.25438,0.591122,0.606193,0.447116,0.0,0.0,0.0
